transaction_id,transaction_date,transaction_time,customer_id,product_id,product_category,quantity,price,total_amount,payment_method,store_location
1,2025-01-13,11:27:06,127,510,Furniture,4,500,2000,Cash,Houston
2,2025-05-30,11:14:10,495,517,Furniture,3,75,225,Credit Card,New York
3,2025-09-06,14:31:11,275,507,Electronics,2,300,600,Debit Card,San Francisco
4,2025-05-08,23:52:27,349,522,Electronics,1,799.99,799.99,Debit Card,Chicago
5,2025-06-08,13:16:29,454,513,Clothing,4,60,240,Debit Card,San Francisco
6,2025-06-08,18:35:01,455,503,Electronics,3,300,900,Debit Card,Miami
7,2025-07-19,11:17:52,230,589,Electronics,5,799.99,3999.95,Cash,San Francisco
8,2025-02-05,8:33:45,368,575,Furniture,1,220,220,Cash,New York
9,2025-09-02,5:47:51,325,585,Clothing,3,55,165,Debit Card,Miami
10,2025-03-07,4:45:32,227,522,Clothing,5,35,175,Credit Card,Dallas
11,2025-07-30,19:42:59,398,580,Grocery,2,4,8,Cash,Dallas
12,2025-07-31,18:28:07,249,501,Electronics,5,300,1500,Debit Card,Los Angeles
13,2025-08-19,2:52:17,462,564,Furniture,2,150,300,Credit Card,Houston
14,2025-07-18,2:10:14,214,515,Grocery,3,2.5,7.5,Cash,Miami
15,2025-02-15,9:34:05,339,523,Electronics,4,450,1800,Cash,Los Angeles
16,2025-05-03,1:52:51,180,600,Furniture,5,150,750,Cash,Chicago
17,2025-04-24,17:07:21,243,570,Grocery,3,3.2,9.6,Debit Card,Chicago
18,2025-07-19,16:20:30,490,596,Electronics,3,120,360,UPI,Dallas
19,2025-01-16,13:22:26,479,540,Electronics,5,120,600,UPI,Houston
20,2025-06-11,6:31:04,200,597,Clothing,4,55,220,Credit Card,San Francisco
21,2025-09-08,4:15:00,248,563,Furniture,3,220,660,Credit Card,New York
22,2025-07-25,21:20:13,107,560,Furniture,1,500,500,Debit Card,San Francisco
23,2025-07-11,21:39:29,170,543,Furniture,5,150,750,Debit Card,Chicago
24,2025-05-06,20:11:56,155,541,Grocery,5,1.5,7.5,Cash,Chicago
25,2025-06-10,14:54:56,122,582,Grocery,3,4,12,UPI,Boston
26,2025-01-04,16:46:22,193,595,Grocery,5,3.2,16,UPI,New York
27,2025-06-22,13:36:42,186,513,Furniture,5,500,2500,UPI,San Francisco
28,2025-08-15,2:41:27,153,529,Furniture,1,75,75,Credit Card,Miami
29,2025-02-21,18:43:14,340,524,Furniture,5,75,375,Debit Card,Dallas
30,2025-01-03,15:29:11,383,531,Furniture,1,220,220,UPI,Dallas
31,2025-06-15,7:49:31,344,522,Grocery,2,3.2,6.4,Credit Card,Houston
32,2025-06-30,14:46:59,188,518,Clothing,5,35,175,Debit Card,New York
33,2025-08-30,3:17:56,301,516,Clothing,4,80,320,Debit Card,Chicago
34,2025-04-29,1:05:32,382,600,Clothing,4,55,220,Credit Card,Dallas
35,2025-08-18,14:13:15,452,549,Grocery,2,3.2,6.4,Debit Card,New York
36,2025-08-20,22:51:17,424,543,Furniture,5,150,750,Cash,Dallas
37,2025-08-22,3:09:49,333,568,Clothing,5,35,175,UPI,Miami
38,2025-08-14,5:02:40,472,543,Clothing,5,55,275,Cash,Chicago
39,2025-03-11,16:40:54,136,534,Electronics,2,120,240,Credit Card,Miami
40,2025-07-27,4:30:08,223,563,Grocery,2,3.2,6.4,Credit Card,Los Angeles
41,2025-06-06,19:39:00,189,559,Electronics,1,120,120,Credit Card,Los Angeles
42,2025-01-11,17:21:24,349,525,Clothing,1,60,60,Cash,Dallas
43,2025-05-11,1:52:06,400,541,Grocery,4,1.5,6,Cash,Boston
44,2025-02-03,21:23:00,360,525,Furniture,1,150,150,Debit Card,Los Angeles
45,2025-05-25,17:38:52,243,535,Grocery,4,2.5,10,UPI,Dallas
46,2025-01-10,7:44:17,418,519,Electronics,5,450,2250,Cash,Miami
47,2025-03-29,5:01:58,252,555,Furniture,3,75,225,Cash,Dallas
48,2025-03-08,20:16:45,185,596,Clothing,3,60,180,Cash,Miami
49,2025-01-27,5:26:13,131,531,Clothing,2,55,110,Debit Card,Boston
50,2025-06-02,1:58:52,442,510,Furniture,4,75,300,Credit Card,Los Angeles
51,2025-07-28,6:29:03,383,582,Furniture,2,75,150,Cash,Dallas
52,2025-04-21,8:39:51,192,517,Electronics,4,120,480,Credit Card,Los Angeles
53,2025-08-03,10:46:34,255,537,Clothing,3,55,165,Debit Card,Dallas
54,2025-03-10,14:15:11,452,588,Electronics,1,300,300,UPI,Miami
55,2025-07-05,20:13:53,395,555,Clothing,2,35,70,Debit Card,Dallas
56,2025-08-20,19:51:13,328,519,Grocery,5,2.5,12.5,Cash,New York
57,2025-01-07,6:45:06,259,560,Grocery,4,2.5,10,Cash,Boston
58,2025-01-06,11:52:34,322,530,Clothing,3,35,105,UPI,Dallas
59,2025-07-11,21:34:07,297,555,Electronics,1,300,300,Debit Card,New York
60,2025-03-22,4:04:38,128,551,Electronics,5,120,600,Credit Card,Chicago
61,2025-01-18,7:09:50,270,592,Furniture,5,220,1100,Cash,Dallas
62,2025-04-06,18:45:44,313,587,Grocery,3,3.2,9.6,Debit Card,Los Angeles
63,2025-06-21,4:13:18,292,529,Clothing,5,35,175,UPI,Chicago
64,2025-04-28,14:17:51,407,509,Furniture,2,75,150,Cash,Houston
65,2025-06-08,4:35:16,118,532,Electronics,1,450,450,UPI,Houston
66,2025-04-07,11:43:16,471,521,Electronics,3,120,360,Cash,Houston
67,2025-03-13,20:22:15,369,531,Grocery,2,2.5,5,Cash,New York
68,2025-03-21,17:05:57,186,565,Furniture,5,150,750,Credit Card,Boston
69,2025-01-31,10:13:13,164,595,Electronics,5,120,600,Debit Card,Dallas
70,2025-07-26,16:57:57,222,576,Clothing,5,80,400,UPI,Chicago
71,2025-04-26,4:17:53,368,520,Furniture,3,220,660,Credit Card,Miami
72,2025-07-01,20:38:22,431,521,Electronics,4,799.99,3199.96,Debit Card,Boston
73,2025-05-06,1:28:26,116,586,Furniture,2,150,300,Credit Card,Chicago
74,2025-07-06,2:43:53,176,527,Electronics,2,450,900,Cash,Chicago
75,2025-06-18,20:01:09,161,596,Furniture,1,75,75,Cash,Boston
76,2025-07-02,12:06:56,360,598,Grocery,5,3.2,16,Debit Card,Miami
77,2025-04-03,23:25:48,247,594,Electronics,3,300,900,Debit Card,Miami
78,2025-05-22,22:29:58,288,588,Electronics,5,120,600,Debit Card,New York
79,2025-01-25,21:33:30,400,584,Furniture,4,150,600,UPI,Dallas
80,2025-05-13,13:50:24,133,544,Grocery,2,2.5,5,Credit Card,New York
81,2025-06-24,0:23:51,123,597,Furniture,1,500,500,UPI,Dallas
82,2025-01-31,4:42:20,172,581,Furniture,4,500,2000,Debit Card,Boston
83,2025-02-18,15:50:21,384,510,Electronics,4,450,1800,Cash,Houston
84,2025-06-06,15:10:36,444,578,Clothing,1,60,60,Credit Card,Miami
85,2025-06-08,0:05:21,457,599,Furniture,3,500,1500,UPI,Chicago
86,2025-05-26,14:32:27,349,576,Electronics,4,799.99,3199.96,UPI,Miami
87,2025-05-14,11:58:23,288,598,Clothing,3,80,240,UPI,Boston
88,2025-03-20,22:25:27,142,573,Furniture,3,150,450,UPI,Houston
89,2025-02-12,11:28:51,346,531,Clothing,3,80,240,Cash,Miami
90,2025-05-30,17:02:24,174,582,Grocery,4,3.2,12.8,Credit Card,New York
91,2025-01-29,7:06:40,253,544,Grocery,2,2.5,5,Credit Card,Los Angeles
92,2025-07-12,11:13:53,358,588,Furniture,5,220,1100,UPI,Dallas
93,2025-03-10,22:41:01,105,552,Clothing,1,35,35,Credit Card,Dallas
94,2025-04-07,21:53:30,339,528,Furniture,1,75,75,Credit Card,San Francisco
95,2025-08-03,2:08:56,145,581,Clothing,1,60,60,Cash,Miami
96,2025-03-31,11:54:13,229,520,Furniture,1,220,220,Cash,Miami
97,2025-07-09,14:24:32,169,534,Clothing,2,35,70,Cash,Los Angeles
98,2025-01-14,6:45:25,470,553,Furniture,2,500,1000,Debit Card,Chicago
99,2025-07-29,0:06:25,148,532,Electronics,4,450,1800,Cash,Miami
100,2025-08-09,20:51:04,281,523,Clothing,3,80,240,Credit Card,Houston
